"","Year","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Spawn_duration","Condition_factor_PWS","SSB","median_exp_rate","Mean_age","ICOADS.SST.mar.obs","ICOADS.SST.mar.wmean","ICOADS.SST.mar.obs.E","ICOADS.SST.mar.obs.W","ICOADS.SST.apr.obs","ICOADS.SST.apr.wmean","ICOADS.SST.apr.obs.E","ICOADS.SST.apr.obs.W","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su"
"1",1980,95,129,109,111,119,169,34,1.37667301949877,68.15,0.1,4.00635593220339,NA,4.525,NA,NA,2.775,6.45,2.8,2.766667,61950820352,6.1950820352,7.17,4.516,3.516,2.9755,2.879666667,3.273,-5.133,-5.054666667,-5.143,-87,-350,-32,0.387854983375661,0.10231056107005,-1.12734550605964,-0.988461747854025,0.420426535420813,0.404417546764717,0.0419999999999999,0.14
"2",1981,83,121,107,112,114,166,38,1.30013964670666,69.93,0.2,4.94929577464789,5.038095,5.97777766666667,4.5125,5.361538,5,7.65575383333333,4.5,5.25,68232515584,6.8232515584,7.528,4.623,3.664,2.2075,-0.595,0.967,-3.394,-5.477666667,-3.159,-141,-436,-73,-0.0921339254742521,0.361896399529696,-0.540561627640917,-0.869108518146075,0.923566178898124,-0.151323059439767,0.93,-0.9325
"3",1982,116,127,120,121,123,81,11,1.34035179877535,60.74,0.13,5.07609988109394,3.8,4.44722216666667,4.4,3.5,4.775,5.35444433333333,NA,4.775,47215726592,4.7215726592,5.486,3.701,1.896,1.445,2.255666667,1.01,-2.888,-6.895333333,-5.473,-105,-584,-35,-0.323312257083598,-0.377678347779864,-0.191616185149309,-0.385185423148385,0.197215493587243,0.763476292337161,-0.768,-0.645
"4",1983,97,141,107,116,119,129,44,1.43988621384902,81.58,0.04,5.65758754863813,4.273333,5.54155366666667,4.133333,4.308333,5.092308,6.60379483333333,5.6,5.05,53238812672,5.3238812672,5.964,2.954,2.808,2.495,2.283666667,1.699,-5.079,-3.796333333,-5.173,-105,-686,-130,2.47041910626324,1.53982836461545,-0.0509963799661243,-0.636912234896062,0.559476036890906,-0.0278251469498816,0.864,0.95
"5",1984,87,131,109,110,118,206,44,1.35873993599771,95.17,0.07,5.13718723037101,5.206667,5.4325,4.975,5.471429,5.65,6.591508,NA,5.65,50642153472,5.0642153472,6.448,3.479,2.712,1.0185,2.068333333,2.649,-3.3365,-3.642666667,-3.156,-158,-331,-64,-0.417350900450112,0.523525317815892,0.0149734051815428,-0.239791488776882,1.37547705867593,1.44957580616986,0.71,0.5125
"6",1985,90,127,117,120,121,302,37,1.31095919159364,107.97,0.08,5.42307692307692,3.95,5.00616466666667,4.4,3.885714,4.4,5.65525366666667,4.4,NA,49140322304,4.9140322304,4.734,3.231,1.993,-0.089,3.669,0.293,-2.852,-5.931666667,-4.166,-130,-241,-31,-0.48200246776459,-0.343393425719156,0.157329257342298,0.389525540592311,0.444211318567013,0.00647982874175325,-0.45,-1.0325
"7",1986,76,134,110,113,116,356,58,1.52550410086679,93.38,0.12,5.88433550363845,4,6.1133334,NA,4,4.966667,6.961111,3.8,5.55,55844364288,5.5844364288,6.188,2.094,1.725,2.7685,4.099666667,1.778,-4.3695,-5.009333333,-4.983,-78,-471,-88,-0.29980259624197,-0.370331578766855,-1.18984319725217,-0.343954307431093,0.780857480020923,0.274058639136505,0.154,-0.0175
"8",1987,90,130,100,103,122,345,40,1.39570636359838,127.84,0.05,4.81843104175453,5.88,5.5075,7.8,5.4,5.45,6.7618055,5.6,5.3,61710680064,6.1710680064,5.937,3.278,1.812,3.3345,2.947,4.232,-3.2945,-3.876666667,-4.723,-170,-328,-77,0.999106165258,0.716990235158459,0.016709452159113,-0.858258224536261,1.47610498737139,0.404417546764717,0.48,-0.4325
"9",1988,88,122,112,114,115,400,34,1.32110902835904,141.19,0.07,4.71080858085809,5.6,7.75,5.6,NA,NA,7.64215683333333,NA,NA,62191771648,6.2191771648,5.453,3.424,2.055,2.27,1.730666667,-1.254,-4.1335,-2.475666667,-4.543,-85,-290,-77,0.499525872373396,1.60105143972386,0.589604954757275,0.168179550952112,0.632659985033061,1.12710903466849,0.694,-0.4325
"10",1989,90,110,102,103,105,358,20,1.31828945147055,132.06,0,5.31224899598394,3.45625,5.11072733333333,3.3,3.492308,4.718182,5.70593416666667,4.54,4.770588,58533593088,5.8533593088,5.474,2.248,1.104,1.575,2.333,2.226,-3.012,-3.053333333,-6.006,-162,-164,-116,-1.2911266283973,-1.62418015698704,0.73022475994046,1.21848797238207,-0.682821482822162,-0.338856926554037,-0.88,0.33
"11",1990,91,112,104,106,107,288,21,1.25743407620912,111.8,0.09,6.25277303754266,NA,5.575,NA,NA,NA,8.05386375,NA,NA,58625712128,5.8625712128,5.529,2.129,1.547,-1.2375,2.591333333,2.028,-2.2965,-3.195333333,-0.351,-90,-213,-71,0.131207852521218,-0.879707563668804,-0.0909254604502385,0.552279944739516,-0.622444725604885,-0.00495516315545834,-0.792,-0.2525
"12",1991,91,128,103,113,117,176,37,1.29249076063524,104.08,0.16,5.8286327077748,4,4.38404766666667,3.9,4.025,4.2,5.60916666666667,4.08,4.4,57532624896,5.7532624896,6.002,2.011,1.321,1.469,2.934,4.657,-4.216,-4.101333333,-2.65,-90,-155,1,0.139044406135094,0.0900659460483681,-0.835689613827849,-0.298383074269876,-1.40917216813304,-0.21307201568471,-0.632,-0.0875
"13",1992,98,118,108,113,116,346,20,1.19127983968991,88.81,0.23,5.26408301567133,4.328814,5.17216933333333,4,4.440909,4.797143,6.49254266666667,NA,4.797143,56240496640,5.624049664,4.69,3.206,2.215,3.1475,1.708333333,1.63,-3.5475,-2.353,-4.542,-181,-255,-24,1.43599402923159,0.660665006058724,-0.323555755444644,-0.639082293618025,0.204533888401458,-0.848857565169675,0.386,0.0575
"14",1993,93,117,100,104,107,170,24,1.15575738484814,46.89,0.06,5.41629177377892,NA,5.4328572,NA,NA,5.875,7.125,5.6,6.7,63399260160,6.339926016,5.959,2.964,2.19,2.1615,1.846666667,3.491,-1.822,-5.464666667,-4.146,-81,-114,-47,0.765968695245185,0.687603159106423,-1.83044453197557,-1.20763767877226,0.369197771721305,0.992176130281393,-0.166,0.0600000000000001
