"Year","Region","DOY_Start","DOY_End","DOY_cum25","DOY_cum50","DOY_cum75","N","Condition_factor","MDM_area","SSB","Mean_age","ICOADS.SST.mar.intp","ICOADS.SST.apr.int","FWinput.total","FWinput.total.t","NCEP.SST.fa","NCEP.SST.wi","NCEP.SST.sp","NCEP.MerWind.fa","NCEP.MerWind.wi","NCEP.MerWind.sp","NCEP.ZonWind.fa","NCEP.ZonWind.wi","NCEP.ZonWind.sp","Upwell.fa","Upwell.wi","Upwell.sp","a.MEI.v2.wi","a.MEI.v2.su","a.NPGO.wi","a.NPGO.su","a.PDO.wi","a.PDO.su","a.PNA.wi","a.PNA.su"
1980,"EPWS",95,129,110,114,120,161,1.42135885957816,88.14307389,68.15,3.93827160493827,3.66125,2.8,20358533120,2.035853312,7.17,4.516,3.516,2.9755,2.879666667,3.273,-5.133,-5.054666667,-5.143,-87,-350,-32,0.387854983375661,0.10231056107005,-1.12734550605964,-0.988461747854025,0.420426535420813,0.404417546764717,0.0419999999999999,0.14
1981,"EPWS",83,121,105,110,111,121,1.28573632164978,78.45030038,69.93,5.00413223140496,4.5125,4.5,22652473344,2.2652473344,7.528,4.623,3.664,2.2075,-0.595,0.967,-3.394,-5.477666667,-3.159,-141,-436,-73,-0.0921339254742521,0.361896399529696,-0.540561627640917,-0.869108518146075,0.923566178898124,-0.151323059439767,0.93,-0.9325
1982,"EPWS",116,127,120,121,122,46,1.29198136255575,34.311849935,60.74,4.56177156177156,4.4,5.05,15515250688,1.5515250688,5.486,3.701,1.896,1.445,2.255666667,1.01,-2.888,-6.895333333,-5.473,-105,-584,-35,-0.323312257083598,-0.377678347779864,-0.191616185149309,-0.385185423148385,0.197215493587243,0.763476292337161,-0.768,-0.645
1983,"EPWS",98,130,110,116,119,49,1.41930568906566,34.54310593,81.58,5.27083333333333,4.133333,5.6,17204367360,1.720436736,5.964,2.954,2.808,2.495,2.283666667,1.699,-5.079,-3.796333333,-5.173,-105,-686,-130,2.47041910626324,1.53982836461545,-0.0509963799661243,-0.636912234896062,0.559476036890906,-0.0278251469498816,0.864,0.95
1984,"EPWS",87,130,98,105,110,75,1.40164435219156,27.50543858,95.17,4.40111420612813,4.975,5,15930175488,1.5930175488,6.448,3.479,2.712,1.0185,2.068333333,2.649,-3.3365,-3.642666667,-3.156,-158,-331,-64,-0.417350900450112,0.523525317815892,0.0149734051815428,-0.239791488776882,1.37547705867593,1.44957580616986,0.71,0.5125
1985,"EPWS",90,126,114,117,120,132,1.25625275156878,57.848892226,107.97,4.96478873239437,4.4,4.4,16830858240,1.683085824,4.734,3.231,1.993,-0.089,3.669,0.293,-2.852,-5.931666667,-4.166,-130,-241,-31,-0.48200246776459,-0.343393425719156,0.157329257342298,0.389525540592311,0.444211318567013,0.00647982874175325,-0.45,-1.0325
1986,"EPWS",76,134,113,115,117,179,1.53185555768175,53.080319951,93.38,5.5089552238806,6.1,3.8,18820818944,1.8820818944,6.188,2.094,1.725,2.7685,4.099666667,1.778,-4.3695,-5.009333333,-4.983,-78,-471,-88,-0.29980259624197,-0.370331578766855,-1.18984319725217,-0.343954307431093,0.780857480020923,0.274058639136505,0.154,-0.0175
1987,"EPWS",90,128,102,110,122,168,1.35124664626012,79.53151626,127.84,3.74146130566364,7.8,5.6,20813420544,2.0813420544,5.937,3.278,1.812,3.3345,2.947,4.232,-3.2945,-3.876666667,-4.723,-170,-328,-77,0.999106165258,0.716990235158459,0.016709452159113,-0.858258224536261,1.47610498737139,0.404417546764717,0.48,-0.4325
1988,"EPWS",88,122,112,114,115,231,1.32779099440136,127.069885189,141.19,5.01578073089701,5.6,5.07,21171568640,2.117156864,5.453,3.424,2.055,2.27,1.730666667,-1.254,-4.1335,-2.475666667,-4.543,-85,-290,-77,0.499525872373396,1.60105143972386,0.589604954757275,0.168179550952112,0.632659985033061,1.12710903466849,0.694,-0.4325
1989,"EPWS",90,105,99,102,103,108,1.30618339348983,68.509925835,132.06,5.35794871794872,3.3,4.54,19334893568,1.9334893568,5.474,2.248,1.104,1.575,2.333,2.226,-3.012,-3.053333333,-6.006,-162,-164,-116,-1.2911266283973,-1.62418015698704,0.73022475994046,1.21848797238207,-0.682821482822162,-0.338856926554037,-0.88,0.33
1990,"EPWS",91,111,104,104,106,177,1.2619702818279,89.972931041,111.8,6.32719638242894,3.6,4.31,20196433920,2.019643392,5.529,2.129,1.547,-1.2375,2.591333333,2.028,-2.2965,-3.195333333,-0.351,-90,-213,-71,0.131207852521218,-0.879707563668804,-0.0909254604502385,0.552279944739516,-0.622444725604885,-0.00495516315545834,-0.792,-0.2525
1991,"EPWS",91,125,100,103,115,116,1.30960850798539,32.905573965,104.08,6.90319336183053,3.9,4.08,18612303872,1.8612303872,6.002,2.011,1.321,1.469,2.934,4.657,-4.216,-4.101333333,-2.65,-90,-155,1,0.139044406135094,0.0900659460483681,-0.835689613827849,-0.298383074269876,-1.40917216813304,-0.21307201568471,-0.632,-0.0875
