"Year" "SSB"
1980 82.1596703860446
1981 82.1596703860446
1982 82.1596703860446
1983 82.1596703860446
1984 82.1596703860446
1985 82.1596703860446
1986 82.1596703860446
1987 124.509525853181
1988 124.509525853181
1989 124.509525853181
1990 124.509525853181
1991 124.509525853181
1992 19.4578611757216
1993 19.4578611757216
1994 19.4578611757216
1995 19.4578611757216
1996 19.4578611757216
1997 19.4578611757216
1998 19.4578611757216
1999 19.4578611757216
2000 19.4578611757216
2001 19.4578611757216
2002 19.4578611757216
2003 19.4578611757216
2004 19.4578611757216
2005 19.4578611757216
2006 19.4578611757216
2007 19.4578611757216
2008 19.4578611757216
2009 19.4578611757216
2010 19.4578611757216
2011 19.4578611757216
2012 19.4578611757216
2013 19.4578611757216
2014 19.4578611757216
2015 19.4578611757216
2016 19.4578611757216
2017 19.4578611757216
2018 19.4578611757216
2019 19.4578611757216
2020 19.4578611757216
